id;name;population_count;currency
1;content backing up Usability;7467;Hill Berkshire virtual
2;Solomon Islands Dollar interface Gorgeous Steel Chair;54381;Generic Frozen Gloves interactive
3;even-keeled Tasty Norway;60672;Bahamian Dollar overriding Savings Account
4;open-source;35355;Plastic Tuna
5;Fresh;12968;back up cutting-edge Cotton
6;explicit;98741;alarm Music 4th generation
7;Bulgarian Lev Refined Rubber Fish;22323;Sharable
8;Officer Money Market Account Oklahoma;82427;Movies Rubber
9;engineer;34029;Handcrafted Fresh Pizza
10;sexy;90938;Senegal
